seq_len,layers,batch_size,backend,rmse,mae,r2,mean_ms_batch,p50_ms_batch,p90_ms_batch,p99_ms_batch,mean_ms_per_sample,p50_ms_per_sample,throughput_sps,throughput_wall_sps,timed_target_M_samples,actual_samples,n_batches,model_hash,data_hash,date_iso,parity_vs_cpu_max_abs,parity_vs_cpu_mean_abs,parity_vs_cpu_rmse
10,3,8,cpu,0.991853,0.806623,0.797345,0.430987,0.425333,0.435725,0.512653,0.053873,0.053167,18562.060298,18530.448351,200,200,25,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:25.115979+00:00,,,
10,3,8,mps,0.991853,0.806623,0.797345,8.385250,8.177250,8.652775,10.475961,1.048156,1.022156,954.056239,953.779456,200,200,25,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:25.116158+00:00,0.000003,0.000000,0.000001
10,3,32,cpu,0.991853,0.806623,0.797345,0.970173,0.888791,1.172658,1.230191,0.030318,0.027775,32983.817759,32949.249034,200,224,7,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:25.282355+00:00,,,
10,3,32,mps,0.991853,0.806623,0.797345,8.428196,8.348958,8.775725,8.924810,0.263381,0.260905,3796.779094,3795.597002,200,224,7,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:25.282575+00:00,0.000003,0.000000,0.000001
10,3,64,cpu,0.991853,0.806623,0.797345,1.432167,1.245791,1.882096,2.104835,0.022378,0.019465,44687.533764,44653.104678,200,256,4,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:25.432785+00:00,,,
10,3,64,mps,0.991853,0.806623,0.797345,8.580677,8.410916,8.964242,9.173537,0.134073,0.131421,7458.618724,7456.410219,200,256,4,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:25.432979+00:00,0.000003,0.000000,0.000001
50,1,1,cpu,0.657973,0.533931,0.908734,0.724565,0.635146,1.078713,2.944324,0.724565,0.635146,1380.138380,1375.147754,200,200,200,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:59.274224+00:00,,,
50,1,1,mps,0.657973,0.533931,0.908734,12.645014,12.540687,12.747521,16.352005,12.645014,12.540687,79.082551,79.065153,200,200,200,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:59.274677+00:00,0.000002,0.000000,0.000000
50,1,8,cpu,0.657973,0.533931,0.908734,0.763810,0.705500,0.957509,1.211605,0.095476,0.088188,10473.810028,10460.435417,200,200,25,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:59.762902+00:00,,,
50,1,8,mps,0.657973,0.533931,0.908734,12.947840,12.899875,13.269317,13.586662,1.618480,1.612484,617.863678,617.751636,200,200,25,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:59.763104+00:00,0.000002,0.000000,0.000000
50,1,32,cpu,0.657973,0.533931,0.908734,1.495173,1.554084,1.717459,1.836596,0.046724,0.048565,21402.211766,21383.993031,200,224,7,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:35:00.017220+00:00,,,
50,1,32,mps,0.657973,0.533931,0.908734,13.122518,12.996750,13.412608,13.585611,0.410079,0.406148,2438.556434,2438.096326,200,224,7,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:35:00.017424+00:00,0.000002,0.000000,0.000000
50,1,64,cpu,0.657973,0.533931,0.908734,2.649938,2.401667,3.489333,3.867896,0.041405,0.037526,24151.513006,24139.272285,200,256,4,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:35:00.240935+00:00,,,
50,1,64,mps,0.657973,0.533931,0.908734,13.105219,13.067812,13.265804,13.320693,0.204769,0.204185,4883.550685,4882.673644,200,256,4,93fc715394a44bae69dd2f530af20de2e687f9bfb6042a338f030ccee071e8d8,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:35:00.241124+00:00,0.000002,0.000000,0.000000
50,3,1,cpu,1.497629,1.248504,0.527175,1.445387,1.201458,1.794108,5.510360,1.445387,1.201458,691.856196,691.169088,200,200,200,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:16.252708+00:00,,,
50,3,1,mps,1.497629,1.248504,0.527175,36.184403,35.638854,38.137208,39.849510,36.184403,35.638854,27.636217,27.633261,200,200,200,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:16.253045+00:00,0.000003,0.000001,0.000001
50,3,8,cpu,1.497629,1.248504,0.527175,2.105832,2.074250,2.271625,2.390180,0.263229,0.259281,3798.974167,3796.645371,200,200,25,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:17.665614+00:00,,,
50,3,8,mps,1.497629,1.248504,0.527175,37.382683,37.309250,38.379175,39.405650,4.672835,4.663656,214.002829,213.984187,200,200,25,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:17.665820+00:00,0.000003,0.000001,0.000001
50,3,32,cpu,1.497629,1.248504,0.527175,4.027113,4.003375,4.221159,4.233241,0.125847,0.125105,7946.138801,7943.567760,200,224,7,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:18.375202+00:00,,,
50,3,32,mps,1.497629,1.248504,0.527175,37.328107,37.312583,37.979659,38.141704,1.166503,1.166018,857.262863,857.179890,200,224,7,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:18.375391+00:00,0.000003,0.000001,0.000001
50,3,64,cpu,1.497629,1.248504,0.527175,5.708010,5.721583,5.924413,5.953066,0.089188,0.089400,11212.313433,11208.447036,200,256,4,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:18.990879+00:00,,,
50,3,64,mps,1.497629,1.248504,0.527175,37.703792,37.700480,38.383596,38.478197,0.589122,0.589070,1697.442009,1697.308837,200,256,4,10614ac5c43fdeda2f2dc00231913a3e391eeaa8996469671f8393384ffb50eb,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:37:18.991088+00:00,0.000003,0.000001,0.000001
100,1,1,cpu,0.756576,0.622034,0.881573,1.069058,0.896084,1.431546,5.400829,1.069058,0.896084,935.403180,934.002780,200,200,200,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:11.357461+00:00,,,
100,1,1,mps,0.756576,0.622034,0.881573,24.715904,24.687042,25.220659,27.732455,24.715904,24.687042,40.459778,40.449671,200,200,200,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:11.357866+00:00,0.000001,0.000000,0.000000
100,1,8,cpu,0.756576,0.622034,0.881573,1.477807,1.391917,1.816392,1.947233,0.184726,0.173990,5413.427813,5408.975037,200,200,25,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:12.347043+00:00,,,
100,1,8,mps,0.756576,0.622034,0.881573,26.816320,25.865917,27.304000,42.654987,3.352040,3.233240,298.325795,298.242920,200,200,25,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:12.347248+00:00,0.000001,0.000000,0.000000
100,1,32,cpu,0.756576,0.622034,0.881573,2.726482,2.509791,3.068950,3.093970,0.085203,0.078431,11736.736205,11729.848396,200,224,7,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:12.837307+00:00,,,
100,1,32,mps,0.756576,0.622034,0.881573,25.575637,25.473958,25.883566,25.901206,0.799239,0.796061,1251.190733,1251.033226,200,224,7,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:12.837652+00:00,0.000001,0.000000,0.000000
100,1,64,cpu,0.756576,0.622034,0.881573,4.153365,4.019209,4.492075,4.669083,0.064896,0.062800,15409.193233,15399.886630,200,256,4,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:13.276961+00:00,,,
100,1,64,mps,0.756576,0.622034,0.881573,25.890104,25.897875,26.188841,26.227496,0.404533,0.404654,2471.986980,2471.717446,200,256,4,205eb6bbe9a1ab7c2f74a0dd0e2868eb033128c2052ed57d6ce7f0ac277a8245,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:38:13.277196+00:00,0.000001,0.000000,0.000000
100,3,1,cpu,1.006790,0.840734,0.790287,2.681637,2.311104,3.357675,8.824543,2.681637,2.311104,372.906482,372.713836,200,200,200,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:40:55.599269+00:00,,,
100,3,1,mps,1.006790,0.840734,0.790287,72.531008,71.645312,75.062117,82.539727,72.531008,71.645312,13.787207,13.785975,200,200,200,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:40:55.599634+00:00,0.000001,0.000000,0.000000
100,3,8,cpu,1.006790,0.840734,0.790287,4.046167,3.985708,4.277875,4.562533,0.505771,0.498214,1977.180021,1976.608518,200,200,25,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:40:58.425849+00:00,,,
100,3,8,mps,1.006790,0.840734,0.790287,77.036055,74.584792,82.232708,104.051225,9.629507,9.323099,103.847478,103.838938,200,200,25,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:40:58.426072+00:00,0.000001,0.000000,0.000000
100,3,32,cpu,1.006790,0.840734,0.790287,7.701357,7.724084,8.059792,8.099167,0.240667,0.241378,4155.111731,4154.318696,200,224,7,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:40:59.830301+00:00,,,
100,3,32,mps,1.006790,0.840734,0.790287,74.785559,74.442916,76.821325,77.280820,2.337049,2.326341,427.890093,427.865438,200,224,7,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:40:59.830501+00:00,0.000001,0.000000,0.000000
100,3,64,cpu,1.006790,0.840734,0.790287,20.882719,20.401313,28.363887,30.149139,0.326292,0.318771,3064.735046,3064.158830,200,256,4,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:41:01.176756+00:00,,,
100,3,64,mps,1.006790,0.840734,0.790287,76.593083,76.515354,78.537712,79.279909,1.196767,1.195552,835.584589,835.523681,200,256,4,8af11b6d61d41bccb2656271f9fcda6e9bfbe7beb7f9c98ce27d6687aef8e204,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:41:01.176957+00:00,0.000001,0.000000,0.000000
